Category Code,QUESTIONS,,To,From,Reason for dishing,Server,Date,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,Unnamed: 12,v1,v2,v3,period,Cred per Praise,Cred per person,To.1,Room-NoEmoji,Source,Year,Month,Day,
TEC1,,3200,naynaysoo,iviangita,for their awesome work on Gitbook and for the contributions they have been giving even they are new,Token Engineering Commons,2021-03-19,🙏praise,25,100,100,1.234.425.234,1.378.441.511,6.528.198.081,naynaysoo,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,19,
TEC8,,1241,GriffGreen,Suga#8514,to @griffGreen for re-guiding my scholarship request!,Token Engineering Commons,2021-04-14,🙏praise,1000,50,80,7.088.501.503,8.506.201.804,1.022.530.884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,14,
TEC12,,6463,naynaysoo,liviade,joining the book club last week! 🙌✨🤓,Telegram,2020-12-28,TE Praise,50,25,25,2.087.383.055,9.045.326.571,5.554.432.686,naynaysoo,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,28,
TEC12,,833,kei#9866,iviangita,for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Commons Stack,2021-05-07,🙌praise,500,25,100,4.317.674.408,518.120.929,1.712.771.486,kei#9866,Metaverde,Juank,Edu,#17 May 7,,,,praise,Commons Stack:praise,2021,5,7,
TEC16,,611,Tam2140,iviangita,for being awesome people who have interacted with Juan recently because having conversations with you are amazing,Token Engineering Commons,2021-05-07,🙏praise,1000,200,100,1.042.633.091,125.115.971,4.797.711.404,Tam2140,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7,
TEC12,,4256,rdfbbx#6437,rdfbbx#6437,test,Token Engineering Commons,2021-01-28,general,,,,0,0,2.199.425.075,@rdfbbx#6437,Zep,Griff,Juanka,#12 Feb 26,,,,general,Token Engineering Commons:general,2021,1,28,
TEC1,,165,cranders71,liviade,for a delightful blogpost! https://medium.com/token-engineering-commons/your-economy-your-choice-v2-4f7c9fb42d99,Token Engineering Commons,2021-04-30,🙏praise,1000,200,200,1.342.393.283,161.087.194,1.511.309.888,cranders71,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30,
TEC6,,5845,cranders71,iviangita,their great conversations with Dan and helping with the Trusted Seed,Telegram,2021-01-08,TE Praise,25,35,60,1.012.854.643,7.596.409.819,309.333.796,cranders71,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,8,
TEC12,,6314,Krisjones,GriffGreen,mentioning us or retweeting us on the socials in December! Thank you for helping us growing the Commons Stack community and spreading the message! 💪🙏,Telegram,2021-01-04,Commons Stack,45,25,10,6.846.054.904,5.134.541.178,7.805.582.855,krisjones,Griff,Jake,Zepti,#9 Jan 15,,,,Commons Stack,Telegram:Commons Stack,2021,1,4,
TEC12,,5300,metaverde,cranders71,"a productive, efficient Onboarding WG weekly sync 🏄‍♀️",Telegram,2021-01-28,TE Praise,,,,0,198.159.943.382.873,3.170.559.094,metaverde,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,28,
TEC12,,3477,ryanchrypto,GriffGreen,for dropping into our Comms Call,Commons Stack,2021-03-23,🙌praise,15,60,100,9.088.990.941,1.014.937.322,1.865.910.415,ryanchrypto,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Commons Stack:praise,2021,3,23,
TEC12,,2412,divine_comedian,iviangita,for contributing so much to the community,Token Engineering Commons,2021-04-02,🙏praise,,100,100,1.436.335.405,1.651.785.716,5.958.621.165,divine_comedian,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2,
TEC12,,6534,JessicaZartler,iviangita,the warm welcome they gave Tam,Telegram,2020-12-27,TE Praise,30,25,50,212.348.949,9.201.787.788,338.736.106,jessicazartler,Griff,Jake,Juanka,#8 Jan 1,,,,TE Praise,Telegram:TE Praise,2020,12,27,
TEC12,,1053,cranders71,zeptimusQ,@Zeptimus@gabi for joining the commons swarm weekly sync ⚡,Token Engineering Commons,2021-04-12,🙏praise,1000,60,50,6.238.180.076,7.485.816.091,2.312.587.137,cranders71,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,12,
TEC12,,865,terry#6288,iviangita,@willszal#6405 for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Commons Stack,2021-05-07,🧪praise-testing,500,25,100,4.317.674.408,518.120.929,1.036.241.858,terry#6288,Metaverde,Juank,Edu,#17 May 7,,,,praise-testing,Commons Stack:praise-testing,2021,5,7,
TEC12,,1254,GriffGreen,zeptimusQ,for joining Stewards call✨,Token Engineering Commons,2021-04-21,🙏praise,1000,60,50,6.238.180.076,7.485.816.091,1.022.530.884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,21,
TEC12,,675,markop,iviangita,for joining the Legal weekly sync,Token Engineering Commons,2021-04-30,🙏praise,1000,80,100,6.595.463.701,7.914.556.442,4.540.587.734,markop,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30,
TEC12,,304,Laurenluz,GriffGreen,joining our Commons Stack Simulator sync & continuing to improve the game!,Telegram,2021-04-28,CS dDEV Team,1000,70,100,6.276.224.767,7.531.469.721,9.262.478.414,Laurenluz,Metaverde,Juank,Edu,#17 May 7,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,4,28,
TEC12,,88,Suga#8514,Tam2140,for joining the Community Stewards sync yesterday.,Token Engineering Commons,2021-05-06,🙏praise,1000,90,100,6.914.702.636,8.297.643.163,2.012.199.683,Suga#8514,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,6,
TEC1,,1904,Laurenluz,Krisjones,for their great work on Part 1 of the Commons Simulator deep dive!,Commons Stack,2021-04-05,🙌praise,,100,100,1.436.335.405,1.651.785.716,1.781.776.325,Laurenluz,-,Juank,Ivy,#15 Apr 9,,,,praise,Commons Stack:praise,2021,4,5,
TEC12,,6748,sembrestels,cranders71,attending today's Impact Hours deep dive. Looking forward to those parameter sets 🧮🙏,Telegram,2020-12-11,TE Praise,21,60,50,2.230.994.692,16.810.545,4.481.065.722,sembrestels,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,11,
TEC13,,6227,markop,GriffGreen,donating to the Commons Simulator Grant... which btw... watch out for an email this week for a special invite to be the first to play the game before its completely done,-D,Telegram,2021-01-05,Commons Stack,45,55,40,1.210.085.352,9.075.640.141,3.826.099.636,markop,Griff,Jake,Zepti,#9 Jan 15,,,,Commons Stack,Telegram:Commons Stack,2021,1,5
TEC12,,5236,zeptimusQ,iviangita,"joining the Legal WG to discuss the meeting attendance terms, for their idea of the audit that’s amazing to put into practice, and for the incredible work they’re doing with transparency going beyond the scope",Telegram,2021-01-29,TE Praise,2000,50,100,2.123.243.556,1.981.693.985,5.996.553.876,zeptimusq,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29,
TEC12,,2820,mateodaza,ddan#2489,and who all had great input for todays Gravity call,Token Engineering Commons,2021-03-25,🙏praise,15,80,100,9.928.040.298,1.108.631.167,2.507.491.014,mateodaza,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,25,
TEC4,,7019,CoachB,GriffGreen,reviewing the DApp with a critical legal eye,Telegram,2020-12-09,Commons Stack,5,50,50,1.507.634.014,113.600.223,3.720.792.078,coachb,Tam,Zep,Santi,#7 Dec 18,,,,Commons Stack,Telegram:Commons Stack,2020,12,9,
TEC12,,5213,existenialstoic,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 💪🙏,Telegram,2021-02-05,Commons Stack,10,10,15,447.651.032,3.655.816.761,7.970.926.868,existenialstoic,Zep,Jake,Juanka,#11 Feb 12,,,,Commons Stack,Telegram:Commons Stack,2021,2,5,
TEC16,,170,cranders71,iviangita,for helping Suga taking off the block,Token Engineering Commons,2021-04-30,🙏praise,1000,100,100,723.394.157,8.680.729.884,1.511.309.888,cranders71,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,30,
TEC12,,615,Tam2140,Tam2140,for joining the Community Stewards sync yesterday.,Token Engineering Commons,2021-05-06,🙏praise,1000,150,100,8.830.136.242,1.059.616.349,4.797.711.404,Tam2140,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,6,
TEC5,,1227,GriffGreen,iviangita,they are not as visible in the community but the work they are doing on the hatch is super cool,Telegram,2021-04-23,TE Praise,2000,100,150,1.374.819.573,1.649.783.488,1.022.530.884,GriffGreen,Metaverde,Juank,Ivy,#16 Apr 24,,,,TE Praise,Telegram:TE Praise,2021,4,23,
TE7,,1724,papa_raw,JessicaZartler,for starting lively dialogue around governance,Commons Stack,2021-04-19,🙌praise,2000,200,100,1.596.516.327,1.915.819.593,2.612.069.155,papa_raw,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Commons Stack:praise,2021,4,19,
TEC10,,4532,JessicaZartler,cranders71,contributing to latest TEC praise quant blog,Telegram,2021-02-17,TE Praise,200,200,150,2.139.185.372,30.661.657,6.459.898.129,jessicazartler,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,17,
TEC10,,6885,GriffGreen,liviade,"creating the praise system that is such a huge pillar of our gratitude culture and for implementing it in the TEC via a contribution reward proposal in the early days of the cultural build! We are so lucky to have a human based approach to rewards, going beyond concrete contributions to also acknowledging subjective and care work ones.",Telegram,2020-12-07,TE Praise,89,500,200,1.222.133.713,9.208.777.529,1.026.614.504,griffgreen,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,7,
TEC1,,3589,cranders71,iviangita,for helping push Gitcoin and all the things he does for comms,Token Engineering Commons,2021-03-12,🙏praise,25,10000,600,4.871.998.138,5.034.398.076,2.546.545.454,cranders71,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Token Engineering Commons:praise,2021,3,12,
TEC5,,6252,fabiosmendes,Sponnet2,tackling remaining issues in the Swiss Membership Dapp,Telegram,2021-01-09,Swiss Membership (CSTK Token) DApp,100,100,100,2.562.570.352,1.921.927.764,2.582.191.953,fabiosmendes,Griff,Jake,Zepti,#9 Jan 15,,,,Swiss Membership (CSTK Token) DApp,Telegram:Swiss Membership (CSTK Token) DApp,2021,1,9,
TEC17,,4453,durgadasji,iviangita,"he is sharing his decentralized learning journey with so much honesty and humor, for being open and for his contributions in the Graviton training",Telegram,2021-02-26,TE Praise,220,200,200,2.509.898.549,3.597.521.254,9.923.013.282,durgadasji,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26,
TEC16,,6456,mateodaza,Tonga2020,"their overall presence, and stability of mind and the work in gravity",Telegram,2020-12-19,DUPLICATE,0,0,0,0,0,6.021.290.811,mateodaza,Griff,Jake,Juanka,#8 Jan 1,,,,DUPLICATE,Telegram:DUPLICATE,2020,12,19,
TEC10,,5785,zeptimusQ,sembrestels,"coming and recording the gardens swarm call as every time, and for writing the transparency wg forum post! https://forum.tecommons.org/t/transparency-working-group/197",Telegram,2021-01-04,TE Praise,,,,0,164.473.684.210.526,5.427.631.579,zeptimusq,Griff,Jake,Zepti,#9 Jan 15,,,,TE Praise,Telegram:TE Praise,2021,1,4,
TEC12,Examine deeper,1341,liviade,liviade,"@AnnaMarieSwan, @freedumbs00, @natesuits, @Juankbell, @mateodaza, @griff, @santigs, @Suga, @Zeptimus, @AmwFund, @durgadas, @Tam2140, @chuygarcia92🐝, for joining soft gov! It's always so insightful to spend this time with you!",Token Engineering Commons,2021-04-13,🙏praise,1000,60,50,6.238.180.076,7.485.816.091,826.473.812,liviade,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13,
TEC12,,4773,officialnico,iviangita,joining the TEC Weekly Sync 🙏🏼😊,Telegram,2021-02-26,TE Praise,40,20,50,4.950.340.078,7.095.487.446,7.095.487.446,officialnico,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26,
TEC12,,4951,VitorMarthendal,GriffGreen,joining our Commons Stack Simulator sync & continuing to push this project to the finish line!!,Telegram,2021-02-10,CS dDEV Team,40,50,60,1.952.063.723,1.594.185.374,1.198.353.789,vitormarthendal,Zep,Jake,Juanka,#11 Feb 12,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,2,10,
TEC12,,834,andythegreenie#7463,iviangita,@willszal#6405 for mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Commons Stack,2021-05-07,🧪praise-testing,500,25,100,4.317.674.408,518.120.929,1.712.771.486,andythegreenie#7463,Metaverde,Juank,Edu,#17 May 7,,,,praise-testing,Commons Stack:praise-testing,2021,5,7,
TEC12,,7200,zeptimusQ,liviade,joining the book club last week 💫💫,Telegram,2020-11-30,TE Praise,,,,0,,,zeptimusq,Griff,Zep,Santi,#6 Dec 4,1.119.370.091,3.470.047.283,,TE Praise,Telegram:TE Praise,2020,11,30,
TEC5,,2214,BlairV,JessicaZartler,starting the cadCAD bootcamp study group!,Telegram,2021-04-05,TE Praise,,100,200,2.149.500.432,2.471.925.496,7.787.140.622,BlairV,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,5,
TEC12,,5471,ygganderson,iviangita,joining the TEC Weekly Sync 🙌🏽😁,Telegram,2021-01-29,TE Praise,1000,15,25,6.163.682.558,5.752.770.387,8.930.831.576,ygganderson,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29,
TEC1,,4920,liviade,iviangita,"giving a great talk at ETHDenver, for representing TEC at ETHDenver, for onboarding a lot of people in the Wednesday call, for being participatory with Jake on onboarding and still being focused on ETHDenver, and for hosting the AMA call",Telegram,2021-02-12,TE Praise,150,100,200,5.619.266.457,4.589.067.607,1.443.379.421,liviade,Zep,Jake,Juanka,#11 Feb 12,,,,TE Praise,Telegram:TE Praise,2021,2,12,
TEC6,,1564,freedumbs00,vegayp,for joining the call and helping Onboarding Auryn.,Token Engineering Commons,2021-04-13,🙏praise,1000,100,100,10.126.618,121.519.416,5.330.037.842,freedumbs00,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,13,
TEC6,,532,mehigher,Tam2140,for reaching our for help when the Trusted Seed membership dues are not going through!,Token Engineering Commons,2021-04-26,🙏praise,1000,100,100,723.394.157,8.680.729.884,6.114.819.591,mehigher,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,4,26,
TEC16,,3319,markop,freedumbs00,understanding those intentions and moving them in his own space,TG,2021-03-21,TE Praise,25,100,100,1.234.425.234,1.378.441.511,4.522.869.831,markop,Jake,Juank,Eduardo,#14 Mar 26,,,,TE Praise,TG:TE Praise,2021,3,21,
TEC5,,1943,iviangita,Tam2140,to for mission vision value tokenlog waterfall Griff's land in S. America sprint planning session,Token Engineering Commons,2021-04-02,🙏praise,,,,0,1.335.656.214,2.137.049.884,iviangita,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2,
TEC12,,2895,durgadasji,liviade,joining the mission token log hack session!,TG,2021-03-18,TE Praise,15,60,100,9.088.990.941,1.014.937.322,1.852.996.145,durgadasji,Jake,Juank,Eduardo,#14 Mar 26,,,,TE Praise,TG:TE Praise,2021,3,18,
TEC6,,2586,vivszaid,iviangita,they are getting us to the Hatch and for handling all the applications for the hatchers,Telegram,2021-04-09,TE Praise,,70,75,1.041.093.035,119.725.699,2.352.356.376,vivszaid,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,9,
TEC5,,6834,cranders71,cranders71,a fascinating and informational deep dive into Dandelion Voting Parameters 🗳,Telegram,2020-12-10,TE Praise,21,45,50,205.164.823,1.545.916.941,1.844.150.714,cranders71,Tam,Zep,Santi,#7 Dec 18,,,,TE Praise,Telegram:TE Praise,2020,12,10,
TEC12,,7242,durgadasji,liviade,their presence and great contributions to the soft gov wg sync ⭐️🥰,Telegram,2020-12-01,TE Praise,30,60,40,1.533.508.579,,,durgadasji,Griff,Zep,Santi,#6 Dec 4,1.201.248.387,2.557.298.254,,TE Praise,Telegram:TE Praise,2020,12,1,
TEC12,,2562,jeffemmett,iviangita,mentioning or retweeting TE Commons on the socials the past week! Thank you for helping us grow the Token Engineering Commons community and spreading the message! 🙏🏼☺️,Telegram,2021-04-03,TE Praise,,20,15,2.516.088.297,2.893.501.542,3.556.254.027,jeffemmett,-,Juank,Ivy,#15 Apr 9,,,,TE Praise,Telegram:TE Praise,2021,4,3,
TEC14,,4001,trentmc0,JessicaZartler,for his work in decentralizing data markets,Commons Stack,2021-03-08,praise,25,2500,1000,3.500.166.776,3.616.839.002,3.616.839.002,trentmc0,Jake,Metaverde,Griff,#13 Mar 12,,,,praise,Commons Stack:praise,2021,3,8,
TEC12,,4463,Laurenluz,GriffGreen,joining our Commons Stack Simulator sync & continuing to push this project to the finish line!!,Telegram,2021-02-18,CS dDEV Team,40,50,80,752.629.433,1.078.768.854,8.951.804.907,laurenluz,Zep,Griff,Juanka,#12 Feb 26,,,,CS dDEV Team,Telegram:CS dDEV Team,2021,2,18,
TEC1,,108,AnnaMarieSwan#8824,iviangita,for the amazing panel on DAOs yesterday with Livia,Token Engineering Commons,2021-05-07,🙏praise,20000,200,200,3.325.898.868,3.991.078.642,1.908.114.174,AnnaMarieSwan#8824,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7,
TEC13,,6676,wipabramson,GriffGreen,"donating to Commons Stack Iteration 0 Gitcoin grant, helping us raise over 14,000 DAI to build the future of high functioning Public Goods focused economies!",Telegram,2020-12-23,Commons Stack,20,25,25,1.423.151.902,6.166.991.577,6.166.991.577,wipabramson,Griff,Jake,Juanka,#8 Jan 1,,,,Commons Stack,Telegram:Commons Stack,2020,12,23,
TEC12,,946,zeptimusQ,durgadasji,for their work in Gravity,Token Engineering Commons,2021-04-15,🙏praise,2000,100,100,1.160.415.937,1.392.499.125,4.385.790.881,zeptimusQ,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,15,
TEC12,,4203,metaverde,liviade,coming to the soft gov call last week 😬 sorry for such a late praise 😁🙌✨,Telegram,2021-02-23,TE Praise,60,100,80,9.553.502.765,1.369.335.396,3.578.736.213,metaverde,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,23,
TEC12,,4758,unquaLe,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-02-19,Commons Stack,10,20,20,2.077.573.614,2.977.855.513,1.319.573.303,unquale,Zep,Griff,Juanka,#12 Feb 26,,,,Commons Stack,Telegram:Commons Stack,2021,2,19,
TEC1,,3029,liviade,divine_comedian,for her great work organizing the gitbook!,Token Engineering Commons,2021-03-18,🙏praise,15,200,400,2.758.063.297,3.079.837.348,8.963.435.776,liviade,Jake,Juank,Eduardo,#14 Mar 26,,,,praise,Token Engineering Commons:praise,2021,3,18,
TEC1,,2241,JuankBell,GriffGreen,for all the DANK memes during the meme party!!,Token Engineering Commons,2021-04-02,🙏praise,,,,0,1.335.656.214,7.413.129.907,JuankBell,-,Juank,Ivy,#15 Apr 9,,,,praise,Token Engineering Commons:praise,2021,4,2,
TEC5,,319,GriffGreen,iviangita,for working on the hatch backend,Token Engineering Commons,2021-05-07,🙏praise,1000,150,200,1.182.773.816,1.419.328.579,8.927.063.614,GriffGreen,Metaverde,Juank,Edu,#17 May 7,,,,praise,Token Engineering Commons:praise,2021,5,7,
TEC12,,3818,kristoferkristofer,iviangita,mentioning or retweeting Commons Stack on the socials the past week! Thank you for helping us grow the Commons Stack community and spreading the message! 🙏🏼🌱,Telegram,2021-03-05,Commons Stack,35,500,40,8.127.328.046,8.398.238.981,7.839.279.189,kristoferkristofer,Jake,Metaverde,Griff,#13 Mar 12,,,,Commons Stack,Telegram:Commons Stack,2021,3,5,
TEC2,,4480,Tam2140,iviangita,having a lot of communication with Juan which strengthens the trust in relationship,Telegram,2021-02-26,TE Praise,120,200,200,214.962.777,3.081.133.137,8.640.675.255,tam2140,Zep,Griff,Juanka,#12 Feb 26,,,,TE Praise,Telegram:TE Praise,2021,2,26,
TEC5,,5614,chuygarcia92,iviangita,rallying around this last push to get the hash contracts frozen,Telegram,2021-01-29,TE Praise,2000,25,50,113.920.864,1.063.261.398,5.871.911.145,chuygarcia92,MetaVerde,Jake,Juanka,#10 Jan 29,,,,TE Praise,Telegram:TE Praise,2021,1,29,
TEC1,,1146,kristoferkristofer,iviangita,for the great new landing page,Token Engineering Commons,2021-04-23,🙏praise,5000,100,100,1.603.678.348,1.924.414.018,1.415.525.285,kristoferkristofer,Metaverde,Juank,Ivy,#16 Apr 24,,,,praise,Token Engineering Commons:praise,2021,4,23,
