,To,From,Reason for dishing,Server,Room,v1 norm,v2 norm,v3 norm,Avg %,IH per Praise,IH per person,day_of_week,tag,Kmean tag,New Kmean tag,New Kmean str tag
0,zeptimusQ,Tam2140,hosting kicking params party,Token Engineering Commons,praise,0.1575382859582418,0.007876914297912,0.2625638099304031,0.1369448463595365,0.1899699496496169,0.2451061938042896,Friday,TEC3,#1 cluster,1,#2 cluster
1,zeptimusQ,iviangita,hosting leading lot params parties,Token Engineering Commons,praise,0.192403976053564,0.0096201988026782,0.1603366467113033,0.1417087316313517,0.1965784133798354,0.2993520334212671,Friday,TEC3,#1 cluster,3,#4 cluster
2,zeptimusQ,JuankBell,testing deploying bot record display meetings,Token Engineering Commons,praise,0.0206534262848246,0.0206534262848246,0.3442237714137434,0.1227935072707442,0.1703392060483478,0.3213366626975153,Wednesday,TEC10,#1 cluster,1,#2 cluster
3,zeptimusQ,iviangita,huge success mvv process,Token Engineering Commons,praise,0.0270889207020527,0.0270889207020527,0.2257410058504396,0.1250911920082376,0.1735265553713416,0.4214634053658757,Friday,TEC2,#1 cluster,3,#4 cluster
4,zeptimusQ,iviangita,awesome work recorder bot help documentation always getting recordings going pushing transparency wg good personality,Token Engineering Commons,praise,0.0270889207020527,0.0270889207020527,0.2257410058504396,0.1250911920082376,0.1735265553713416,0.4214634053658757,Friday,TEC10,#1 cluster,3,#4 cluster
5,zeptimusQ,Tam2140,taking care ivy access twitter dms,Token Engineering Commons,praise,0.0224502929970913,0.0112251464985456,0.3741715499515228,0.1017341340123394,0.1411256344033641,0.3492932421371365,Friday,TEC1,#1 cluster,1,#2 cluster
6,zeptimusQ,GriffGreen,many community members user testing last month slowly surely make project something proud release,Token Engineering Commons,general,0.0224502929970913,0.0112251464985456,0.3741715499515228,0.1017341340123394,0.1411256344033641,0.3492932421371365,Monday,TEC8,#1 cluster,1,#2 cluster
7,zeptimusQ,Tam2140,keeping stewards working groups transparent stewards audit forum,Token Engineering Commons,praise,0.0224502929970913,0.0112251464985456,0.3741715499515228,0.1017341340123394,0.1411256344033641,0.3492932421371365,Thursday,TEC8,#1 cluster,1,#2 cluster
8,zeptimusQ,iviangita,awesome memes,Token Engineering Commons,praise,0.0224502929970913,0.0112251464985456,0.3741715499515228,0.1017341340123394,0.1411256344033641,0.3492932421371365,Friday,TEC1,#1 cluster,3,#4 cluster
9,zeptimusQ,cranders71,attending 1hive tec hatch params party individuals attendance praise channel help join us,Token Engineering Commons,praise,0.0224502929970913,0.0112251464985456,0.3741715499515228,0.1017341340123394,0.1411256344033641,0.3492932421371365,Friday,TEC3,#1 cluster,1,#2 cluster
